Year,Quarter,1. Premium received and interest income received,2. Payments to suppliers,3. Payments to employees,4. Interest payment,5. Payments for enterprise income tax,6. Other cash receipts,7. Other cash disbursements,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal and liquidation of fixed assets,3. Loans to other entities and payments for purchase of debt instruments of other entities,4. Collections from borrowers and proceeds from sale of debt instruments of other entities,5. ,6. Withrawals of investments in other entities,"7. Interest received, dividends received and profit shares",8. Cash transfer under trusted investment arrangement,9. Cash receipt from trusted investment arrangement,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Cash receipts from issuing shares,"2. Payments to shareholders, repurchasing shares",3. Cash receipts from short and long term loans,4. Payments for original loans,5. Payments for financial loans,6. Dividends paid out,7. Refund to investors and shares premium paid to MOF,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,IMPACT OF EXCHANGE RATE FLUCTUATION,Cash and cash equivalents at the end of period
2016,3,99741885627,0,-10514202931,0,-12675959163,1002842586,-74532785693,3021780426,-160367200,0,-222654598611,258116339543,0,0,45819410321,0,0,81120784053,0,0,0,0,0,-129483098500,0,-129483098500,-45340534021,252467294578,178842027,207305602584
2016,4,213784695287,0,-8673481407,0,-16514312314,3211453493,-124953159019,66855196040,0,0,-403926544302,178218177644,0,0,23106195615,0,0,-202602171043,0,0,0,0,0,-2106877500,0,-2106877500,-137853852503,207305602584,1377808046,70829558127
2017,1,99337312590,0,-13651252879,0,-8481661351,2758046898,-88215187037,-8252741779,0,0,-167084000000,153074116250,0,0,34926903090,0,0,20917019340,0,0,0,0,0,0,0,0,12664277561,75029558127,5389815,87699225503
2017,2,131132635061,0,-6681328027,0,-10425040863,3241052762,-91105761874,26161557059,0,0,-370616000000,448327551355,0,0,102698354613,0,0,180409905968,0,0,0,0,0,-155381180640,0,-155381180640,51190282387,87699225503,360395414,139249903304
2017,3,195568927526,0,-7883172208,0,-13102722653,-2801577,-129549129593,45031101495,0,0,-142000000000,62661380379,0,0,23598333091,0,0,-55740286530,0,0,0,0,0,-1909943760,0,-1909943760,-12619128795,135049903304,634896478,123065670987
2017,4,107165982042,-407474865993,-12958634660,0,-23324547873,4106033451,276025484923,-56460548110,-46000000,0,-246315815350,296742127551,0,0,49449528034,0,0,99829840235,0,0,0,0,0,0,0,0,43369292125,123065670987,-817797967,165617165145
2018,1,129980652724,-74253193775,-14247681956,0,-4625274679,169950861,-9401957285,27622495890,-655260000,0,-86494600000,54692000000,0,0,35808963839,0,0,3351103839,0,0,0,0,0,-131075937000,0,-131075937000,-100102337271,169817165145,642887285,70357715159
2018,2,97521321158,-93247738870,-8326228199,0,-10749715702,1393404316,-10805476634,-24214433931,-266800000,0,-572659345000,535308000000,0,0,94966275859,0,0,57348130859,0,0,0,0,0,-25900712600,0,-25900712600,7232984328,70357715159,135048331,77725747818
2018,3,189242320812,-104989345723,-8341698016,0,-16076626179,2075051755,-3774472594,58135230055,30000000,0,-516027460000,356999013699,0,0,84618892871,0,0,-74379553430,0,0,0,0,0,-517890800,0,-517890800,-16762214175,77725747818,624515335,61588048978
2018,4,190165855472,-118689336078,-12261184152,0,-13000000000,2534735734,-2414596038,46335474938,-39063000,0,-835410394345,747493209137,0,8069200447,36529189625,0,0,-43357858136,0,0,0,0,0,0,0,0,2977616802,61588048978,-762436504,63803229276
2019,1,0,114854389048,-103690593489,-15859230838,-16512187133,1225786830,-10679174556,-30661010138,-500000000,0,-163660231459,174000000000,0,0,33532164176,0,0,43371932717,0,0,0,0,0,0,0,0,12710922579,62803229276,217561328,75731713183
2019,2,220561041442,-249266764257,80778720551,15859230838,-13096914638,587769944,-6680600771,48742483109,-464134545,0,-434539768541,231218168541,28516667714,0,103070637312,0,0,-72198429519,0,0,0,0,0,0,0,0,-23455946410,75731713183,-20631837,52255134936
2019,3,248331964775,-143856155376,-9404273641,0,-10251492649,1241367139,-652988523,85408421725,-40689000,0,-478419186000,514975298388,-28516667714,56358821181,99527255553,0,0,163884832408,0,0,0,0,0,-155404842240,0,-155404842240,93888411893,53255134936,-56992680,147086554149
2019,4,108041652671,-65962834582,-10403340590,0,-16910222400,2624097261,-16222069435,1167282925,-1486119100,0,-362191274000,259892053204,0,2851666770,58513666559,0,0,-42420006567,0,0,0,0,0,-1685502000,0,-1685502000,-42938225642,146086554149,14796715,103163125222
2020,1,86685636014,-102151037194,-16217409671,0,-17306240598,396994717,-11577989175,-60170045907,-1076590300,0,-84915074930,62000000000,0,0,22527206643,0,0,-1464458587,0,0,0,0,0,0,0,0,-61634504494,103163125222,211461958,41740082686
2020,2,137009256555,-97197780290,-7799229271,0,-1500000000,132155572,-6941920080,23702482486,-170320000,-603756294930,566715074930,-62000000000,0,0,89666525286,0,0,-9545014714,0,0,0,0,0,0,0,0,14157467772,41740082686,-444658756,55452891702
