Year,Quarter,1. Premium received and interest income received,2. Payments to suppliers,3. Payments to employees,4. Interest payment,5. Payments for enterprise income tax,6. Other cash receipts,7. Other cash disbursements,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal and liquidation of fixed assets,3. Loans to other entities and payments for purchase of debt instruments of other entities,4. Collections from borrowers and proceeds from sale of debt instruments of other entities,5. ,6. Withrawals of investments in other entities,"7. Interest received, dividends received and profit shares",8. Cash transfer under trusted investment arrangement,9. Cash receipt from trusted investment arrangement,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Cash receipts from issuing shares,"2. Payments to shareholders, repurchasing shares",3. Cash receipts from short and long term loans,4. Payments for original loans,5. Payments for financial loans,6. Dividends paid out,7. Refund to investors and shares premium paid to MOF,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,IMPACT OF EXCHANGE RATE FLUCTUATION,Cash and cash equivalents at the end of period
2017,2,621569662145,-459058129977,-83206969739,0,-7994159464,89492209981,-143455389570,17347223376,-4488697083,10800866,-231716524500,294654215000,0,-65000000000,53670945838,0,0,47130740121,0,0,0,0,0,-40046680535,0,-40046680535,24431282962,109349177763,18015757,133798476482
2017,3,626741259055,-486131691774,-63610969698,0,-9998107573,615241747597,-159161391456,523080846151,-27552797387,168630455,-1308112738500,797306650000,0,0,54036652448,0,0,-484153602984,0,-6721526475,0,0,0,-915947650,0,-7637474125,31289769042,133798476482,-8261156,165079984368
2017,4,733831378428,-520809147910,-72189592544,0,-73104477,95414244010,-185253983363,50919794144,-23626916411,217690026,-300200000000,221200000000,0,0,32728294416,0,0,-69680931969,0,-439197500,0,0,0,-3666055210,0,-4105252710,-22866390535,165079984368,-13119225,142200474608
2018,1,710236093400,-454578888318,-112898380451,0,-11225909637,57315384987,-166405137391,22443162590,-26595969195,2847273,-168650000000,172689866604,0,0,42879889715,0,0,20326634397,0,0,0,0,0,-59144616060,0,-59144616060,-16374819073,142200474608,113459679,125939115214
2018,2,727483173194,-502199251583,-86493316899,0,-8574454259,101119492346,-226989643952,4345998847,-6870165360,4060000,-247540600000,254685000000,0,0,52044174298,0,0,52322468938,0,0,0,0,0,-44339693800,0,-44339693800,12328773985,125939115214,32552050,138300441249
2018,3,700022591369,-466454279607,-75247181043,0,-8334873195,80404851059,-190729018554,39662090029,-8111926922,39270263,-480500000000,405102000000,0,0,81742035746,0,0,-1728620913,0,0,0,0,0,-249601860,0,-249601860,37683867256,138300441249,34366566,176018675071
2018,4,854891115781,-620115771412,-86425230783,0,-7992401222,105918251441,-191562162409,54713801396,-20878228211,246009092,-257973850000,182628521766,0,0,43624735278,0,0,-52352812075,0,0,0,0,0,-943423555,0,-943423555,1417565766,176018675071,-233791417,177202449420
2019,1,668224785936,-471130324374,-129284252519,0,-8725395249,51956742821,-177743012460,-66701455845,-10301329752,0,-45700000000,120700000000,0,0,24229554257,0,0,88928224505,0,0,0,0,0,-59439288830,0,-59439288830,-37212520170,177202449420,1513158,139991442408
2019,2,792430899836,-464244648525,-91709154731,0,-8782662560,56154265418,-180931551916,102917147522,-2460213835,303772727,-326000000000,214300150000,0,0,50250497594,0,0,-63605793514,0,0,0,0,0,-44320441115,0,-44320441115,-5009087107,139991442408,-49393524,134932961777
2019,3,716786830599,-563472983826,-85214919429,0,-9917886816,131472834292,-219387408508,-29733533688,-4524535039,137590909,-534835000000,450188670000,0,0,91229231759,0,0,2195957629,0,0,0,0,0,-164008475,0,-164008475,-27701584534,134932961777,-54304904,107177072339
2019,4,943234576301,-661247494821,-111269489702,0,-5594526338,93486667098,-185320428837,73289303701,-6421913988,58081818,-375780000000,262886418784,0,0,50276153688,0,0,-68981259698,0,-9506233942,0,0,0,-1105202436,0,-10611436378,-6303392375,107177072339,-56650912,100817029052
2020,1,677902846764,-471696853682,-131537106332,0,-14448826131,192415942348,-232074909627,20561093340,-18802885345,0,-195000000000,285000000000,0,0,36073672486,0,0,107270787141,0,0,0,0,0,-111261250470,0,-111261250470,16570630011,110817029052,-25393252,127362265811
2020,2,718247939181,-489614752419,-164971201075,0,-10555069871,205797877978,-180745945508,78158848286,-8058594845,1500000,-449605812142,374209760142,0,0,51920704890,0,0,-31532441955,0,0,0,0,0,-1463889995,0,-1463889995,45162516336,127362265811,-46345452,172478436695
