ticker,name,exchange,industry,sector,RevenueGrowth1Y,QuickRatioQ,ProfitAfTaxGrowthQ,NetRevenueGrowthQ,EquityGrowthQ,EquityGrowthY,TotAssetGrowthQ,MarketCap,PBQ,ROA4Q,ROE4Q,TradingDay,ProfitGrowth1Y,EPSQ,AvgValue20P,Return5Y,NetProfitMargin4Q,InterestCoverageQ,TotAssetGrowthY,PEG3Y,DomesticOwnership,RelativePersonOwnership,BomOwnership,InternalOwnership,ExternalOwnership,MajorOwnership,TreasuryOwnership,MinorityOwnership,BETA,IndROA4Q,IndROE4Q,IndPE4Q,IndPBQ,StateOwnership,ForeignOwnership,OtherOwnership,CashDivYield,CashDiv1Y,GrossProfitMargin4Q,EPS4Q,PE4Q,EPSGrowthY,EPSGrowthQ,CurrentRatioQ,TotAssetTurnover4Q,RtBuyFrgnValue,RtSellFrgnValue,RtPrice,RtCHGPrice,RtPCTPrice,RtAccumValue,RtAccumVol,RtPCTVol10S,RtPCTVol20S,RtPCTHighest52w,RtPCTLowest52w,SMA10,SMA20,SMA50,SMA200,BollingerBandLower20,BollingerBandUpper20
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,HOSE,Bán lẻ,Dịch vụ bán lẻ,0.3192,4.0729,-0.6222,-0.3376,0.016,0.1606,-0.1505,2218500000000,3.4383,0.1948,0.2381,908,0.186,308.8025,6795074075,0.2354,0.1439,349.6594,0.3117,12.9912,57.2765,0.307,0.767,1.074,98.926,94.285,0,5.715,0.9544,0.797,-0.1025,0.2588,0.3946,0,42.7235,57.2765,0.0406,2000,0.5265,3575.752,13.7873,-0.0512,-0.6222,5.0655,1.3538,2470000,62186500,50000,700.0000000000028,0.014198782961460488,815000000,16390,-0.7257454569793514,-0.868609335230575,-0.44382647385984425,0.21951219512195122,51.22,52.95,53.39,65.08,47.764443135015284,58.13555686498475
BCC,Công ty Cổ phần Xi măng Bỉm Sơn,HNX,Xây dựng & Vật liệu,Xây dựng & Vật liệu,0.0401,0.1649,-0.3128,0.0591,0.0023,0.0664,0.033,781071383400,0.3902,0.0272,0.0637,4967,0.3938,183.5415,943226395,-0.3927,0.032,2.2017,-0.0027,-1.1651,95.6521,0.011,0.013,0.024,99.976,63.605,0,36.395,0.9552,-0.619,-0.5536,-0.5148,-0.8262,63.61,4.3479,32.0421,,,0.1419,1151.3245,6.1668,0.3938,-0.3128,0.3215,0.8494,0,0,7300,200.00000000000017,0.028169014084507005,327150000,45500,-0.32857284099276785,-0.6359848569700499,-0.1888888888888889,0.45999999999999996,7.28,7.4,7.41,6.97,6.971047788209426,7.8289522117905745
BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,-1,1.2486,-0.9487,-0.8736,0.0063,,-0.0645,236100000000,0.672,0.037,0.1033,3655,-1,30.5531,889710835,0.6603,0.0581,2.0761,,,96.1472,1.642,3.708,5.35,94.65,51.824,0,48.176,0.3621,-0.4818,-0.2761,-0.4919,-0.7006,0,3.8528,96.1472,,,0.0948,1218.8294,6.457,,-0.9487,1.5195,0.6367,0,30810000,7880,9.999999999999787,0.0012706480304955914,277000000,35180,-0.6019506455007297,-0.6838704749581025,-0.05174488567990374,0.2833876221498371,7.99,7.98,7.78,7.06,7.699876153762155,8.255123846237844
BCG,Công ty Cổ phần Bamboo Capital,HOSE,Dịch vụ hỗ trợ,Hàng hóa và dịch vụ công nghiệp,0.4155,0.652,-0.415,-0.393,0.0571,0.154,0.358,662075308800,0.3979,0.015,0.0706,1811,-8.2229,11.9745,2847742285,-0.6302,0.0643,1.3043,0.3635,-1.5953,79.4675,3.002,26.013,29.015,70.985,77.712,0,22.288,0.9084,-0.5066,-0.2676,-0.1633,-0.5005,0,20.5325,79.4675,,,0.1597,1030.9532,5.946,,-0.415,0.8583,0.2331,44503500,24340000,6550,419.99999999999994,0.068515497553018,2986000000,456780,0.30725201762921417,0.02330885095620161,-0.29946524064171126,0.5632458233890214,6.27,6.27,5.88,6.82,5.864485618368128,6.681514381631864
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,UPCOM,Xây dựng & Vật liệu,Xây dựng & Vật liệu,0.2563,0.2183,-0.637,-0.6512,0.0695,0.1675,0.012,27153225000000,1.7054,0.0507,0.1509,860,0.1455,300.1715,1038929135,0.0579,0.2739,3.4857,-0.0369,-225.5741,97.9399,0.007,0.01,0.017,99.983,0,0,100,1.1798,,,,,0,2.0601,97.9399,,,0.4356,2178.2578,12.044,0.1207,-0.637,1.2924,0.1851,238090000,0,26600,400.00000000000216,0.01526717557251911,407650000,15500,-0.6869806150124097,-0.603547609456029,-0.23999999999999996,0.6521739130434784,26.67,26.49,24.95,26.43,25.593562606756503,27.386437393243494
BFC,Công ty Cổ phần Phân bón Bình Điền ,HOSE,Hóa chất,Hóa chất,-0.0391,0.4728,-0.7325,-0.4331,0.004,-0.0298,-0.0169,657431919500,0.7148,0.0209,0.065,1728,-0.6173,124.8593,6298697425,-0.1415,0.0123,1.3647,-0.1022,-25.7803,96.2874,0.116,0.321,0.437,99.563,65,0,35,0.8656,-0.6193,-0.2664,-0.4835,-0.3389,65,3.7126,31.2874,0.1043,1200,0.1239,1289.8018,8.9161,-0.6173,-0.7325,1.22,1.7034,37541500,44766000,11800,300.0000000000007,0.026086956521739202,2181000000,186260,-0.5339771817453963,-0.6206154153248885,-0.31115002918855805,0.2501324292827631,12.04,12.13,11.87,11.89,11.120755188458247,13.137244811541741
BIC,Tổng Công ty Cổ phần Bảo Hiểm Ngân hàng Đầu tư và Phát triển Việt Nam ,HOSE,Bảo hiểm phi nhân thọ,Bảo hiểm,0.112,1.1659,1.1226,-0.1691,0.0317,0.0531,-0.0089,2333810210500,1.0159,0.0402,0.0992,3220,0.499,529.603,3227210450,0.3086,0.1314,,0.0706,55.9236,52.5944,0,0.049,0.049,99.951,86.007,0,13.993,0.0951,1.8921,0.7133,-0.6555,-0.3248,50.95,47.4056,1.6444,,,0.2498,1879.1406,10.5899,0.499,1.1226,1.1659,0.3057,250840000,195069500,19900,0,0,450000000,22920,-0.7473127170497768,-0.8515471930307495,-0.2892857142857143,0.03002070393374734,20.41,20.92,22.56,24.56,19.603241654014568,22.231758345985504
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam ,HOSE,Ngân hàng,Ngân hàng,0.2853,,-0.5287,,0.0193,0.4235,-0.0296,152434483716000,2.0325,0.0055,0.1157,2349,0.1374,350.403,49840510150,1.0179,,,0.1347,162.3177,82.306,0,0.007,0.007,99.993,95.987,0,4.013,1.4021,-0.6099,-0.3437,0.3635,-0.0699,95.28,17.694,-12.974,,,,2160.2455,17.5443,-0.0333,-0.5287,,0.0254,12113797000,17073587000,39200,1300.0000000000043,0.03430079155672838,29666000000,769310,-0.07289820089394927,-0.3613331385174289,-0.29369369369369364,0.2727272727272728,39.97,40.92,39.32,41.45,37.782580678328614,44.05741932167142
BII,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư ,HNX,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,-0.669,1.3928,0.6904,,-0.1201,-0.1588,-0.089,46144000000,0.0894,-0.0443,-0.0616,2108,-30.3847,-41.1684,735704035,-0.8916,-1.7226,,-0.0976,0.0418,94.8137,5.126,12.04,17.166,82.834,34.079,0,65.921,1.0818,-1.6347,-1.3359,-1.0536,-0.9674,0,5.1863,94.8137,,,0.2694,-611.0739,-1.3092,,,1.425,0.0257,0,0,800,0,0,199830000,249800,-0.5922169927978469,-0.6957154098584309,-0.3846153846153846,0.6000000000000001,0.84,0.86,0.76,0.85,0.6879534946591419,1.0320465053408563
BMI,Tổng Công ty Cổ phần Bảo Minh ,HOSE,Bảo hiểm phi nhân thọ,Bảo hiểm,0.0644,1.3557,-0.071,-0.0309,0.012,0.0119,0.0361,1954976391800,0.9731,0.0314,0.0785,4963,0.1173,447.7714,5437357400,0.922,0.0486,,0.0368,-616.0457,64.5626,0.01,0.051,0.061,99.939,78.616,0,21.384,0.8983,1.259,0.3558,-0.6404,-0.3533,50.7,35.4374,13.8626,0.0701,1500,0.0521,1935.8422,11.0546,0.1173,-0.071,1.3571,0.6454,129847500,171592500,21750,350.0000000000014,0.016355140186915973,935000000,43500,-0.6535051735262022,-0.8214941554724352,-0.1700057240984545,0.5756302521008403,21.64,21.88,21.37,21.9,20.54156808167244,23.218431918327585
