Year,Quarter,1. Premium received and interest income received,2. Payments to suppliers,3. Payments to employees,4. Interest payment,5. Payments for enterprise income tax,6. Other cash receipts,7. Other cash disbursements,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal and liquidation of fixed assets,3. Loans to other entities and payments for purchase of debt instruments of other entities,4. Collections from borrowers and proceeds from sale of debt instruments of other entities,5. ,6. Withrawals of investments in other entities,"7. Interest received, dividends received and profit shares",8. Cash transfer under trusted investment arrangement,9. Cash receipt from trusted investment arrangement,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Cash receipts from issuing shares,"2. Payments to shareholders, repurchasing shares",3. Cash receipts from short and long term loans,4. Payments for original loans,5. Payments for financial loans,6. Dividends paid out,7. Refund to investors and shares premium paid to MOF,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,IMPACT OF EXCHANGE RATE FLUCTUATION,Cash and cash equivalents at the end of period
2018,1,335888036985,-143076408732,-72133017061,0,-13604187241,120849047335,57560537732,285484009018,0,241500000,0,0,-88272000000,25000000000,10308744800,0,0,-52721755200,0,0,0,0,0,-6000000,0,-6000000,232756253818,139834923154,0,372591176972
2018,2,375430908153,-226123327994,-26594026833,0,-15348697063,121169453901,-219254195604,9280114560,-5249387273,0,-240772000000,123000000000,88272000000,-25000000000,24251336481,0,0,-35498050792,0,0,0,0,0,-43752840000,0,-43752840000,-69970776232,372591176972,0,302620400740
2018,3,363744731443,-207959224461,-34311589935,0,-22605673094,106931625868,-44165325344,161634544477,-6815953990,0,0,0,-141000000000,51500000000,23082721514,0,0,-73233232476,0,0,0,0,0,0,0,0,88401312001,302620400740,0,391021712741
2018,4,381962578001,-237062605000,-42066226986,0,-6901436527,114755316112,-330925628381,-120238002781,-1062172727,0,0,0,-152500000000,63000000000,30674877633,0,0,-59887295094,0,0,0,0,0,-16800000,0,-16800000,-180142097875,391021712741,0,210879614866
2019,1,418504028873,-197800785346,-108404781025,0,-12090464959,4999273884,-22690800747,82516470680,0,0,-120000000000,222141291700,0,0,14323262267,0,0,116464553967,0,0,0,0,0,0,0,0,198981024647,210879933269,0,409860957916
2019,2,433466879679,-255709989275,-38501543480,0,-15725615587,9168962031,-188078594372,-55379901004,-1094063637,186818182,-153000000000,-128573291700,0,0,25936957183,0,0,-256543579972,0,0,0,0,0,-19956240000,0,-19956240000,-331879720976,409860957916,0,77981236940
2019,3,-851970908552,1709016196536,-544478699946,-194486277994,-17795263853,707265318,-32807292951,68185018558,0,0,-163000000000,87000000000,0,0,29674591785,0,0,-46325408215,0,0,0,0,0,-23420400000,0,-23420400000,-1560789657,77981236940,0,76420447283
2019,4,466839828753,-322673545233,-76189631941,0,-18464595623,1040668699,-19996418213,30556306442,-265194091,224181818,-162000000000,65000000000,0,0,37758652192,0,0,-59282360081,0,0,0,0,0,0,0,0,-28726053639,76420447283,0,47694393644
2020,1,465901944910,-265776563160,-79271778109,0,-8829146438,2119198711,-33711309410,80432346504,-9222283183,533636364,-55000000000,42000000000,0,0,19669256900,0,0,-2019389919,0,0,0,0,0,-45325440000,0,-45325440000,33087516585,47694393644,0,80781910229
2020,2,483114800117,-283383058563,-39367770142,0,-20483921688,2771937325,-20773613430,121878373619,-35250000,-215363637,-277500000000,112500000000,0,0,34589513754,0,0,-130661099883,0,0,0,0,0,-12000000,0,-12000000,-8794726264,80781910229,0,71987183965
