disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2018-10-22,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,,,,Số lượng 5151237 cp,,,,
2019-02-19,investorRight,MEETING,Họp cổ đông,2019-03-22,2019-04-21,2019-04-21,ĐHĐCĐ thường niên năm 2019,,,,
2019-04-23,schedEvent,schedDiv,Dự kiến cổ tức,2019-06-18,2019-06-18,,"Dự kiến trả cổ tức bằng cổ phiếu năm 2018, tỷ lệ 100:21",,21,,2018
2019-04-23,schedEvent,schedIssue,Dự kiến phát hành,2019-08-19,2019-08-19,,Dự kiến phát hành cổ phiếu thưởng theo chương trình lựa chọn cho người lao động,,,,
2019-06-11,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2019-06-18,2019-06-19,,"Trả cổ tức năm 2018, Tỷ lệ 100:21",,21,,2018
2019-07-11,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2019-07-29,,,"Số lượng 4,004,976 cp",,,,
2019-08-01,schedEvent,schedIssue,Dự kiến phát hành,2019-08-19,2019-08-19,,Dự kiến phát hành 919199 cp cho ESOP để thưởng cho cán bộ công nhân viên,,3.98,,
2019-09-25,investorRight,MEETING,Họp cổ đông,2019-10-14,2019-11-12,2019-11-12,ĐHĐCĐ bất thường năm 2019,,,,
2019-10-03,stockAlert,nomargin,CP không đủ điều kiện GD ký quỹ,2019-10-03,2020-04-03,,BCTC HN 6T.2017 có ý kiến ngoại trừ của TCKT,,,,
2019-10-03,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2020-08-20,,,"Số lượng 306,270 cp",,,,
2019-10-03,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2021-08-20,,,"Số lượng 306,376 cp",,,,
2019-10-03,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2022-08-22,,,"Số lượng 306,553 cp",,,,
2020-04-03,investorRight,ISSUE,Phát hành thêm,2020-04-14,2020-05-15,,"Phát hành 12,000,000 cp cho CĐHH, giá 15000 đ/cp, tỷ lệ 100:50",,50,,
2020-05-27,investorRight,MEETING,Họp cổ đông,2020-03-24,2020-06-11,2020-06-11,ĐHĐCĐ thường niên năm 2020,,,,
2020-08-06,investorRight,DIVIDEND,Cổ tức bằng tiền,2020-08-18,2020-08-31,2020-08-31,Trả cổ tức năm 2019 (1500 đ/cp),1500,15,,2019
2020-08-06,investorRight,MEETING,Họp cổ đông,2020-08-25,,,ĐHĐCĐ bất thường năm 2020,,,,
2020-08-11,stockAlert,noticed,Nhắc nhở,2020-08-11,,,V/v: Chủ tịch HĐQT kiêm nhiệm Tổng giám đốc,,,,
2020-08-12,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2020-08-19,,,"Số lượng 9,589,907 cp",,,,
2020-08-12,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2021-06-22,,,"Số lượng 2,410,093 cp",,,,
